word,phonetic,translation,definition,pos,exchange,frequency
later,'leɪtə,adv. 后来；稍后；随后\na. 更迟的；更后的\nn. (Later)人名；(德)拉特,,,,
less,,没有；无,,,,
let,,小的；不很重要的,,,,
like,,类似…的；有…特征的,,,,
lived,lɪvd (for v.); 'laɪvd (for adj.),a. 有生命的\nv. 居住（live的过去分词）；活着；度过；以…为生,,,,
meal,miːl,"n. 一餐, 一顿饭；膳食\nvi. 进餐",,,,
mere,'mɪər,"[医]〔后缀〕意为指节, 体节或部分",,,,
most,,最远的；最深远的,,,,
o,əu,"suf. 用以构成名词或形容词,表示具有…性质(的), 与…有关的; 用以构成感叹词",,,,
on,ɔn,suf. 表示“非酮(或氧基)化合物”：parathion; 表示：[生物学]“…子(指基本遗传成分)”; [物理学]“…子(指基本粒子或量子)”; [化学]表示“惰性气体”：neon,,,,
one,'wʌn,"[医]〔后缀〕意为酮, 在化学中用以表示有两个烃基附在羰基上的一种化合物",,,,
or,,…的人（或物）,,,,
path,pɑːθ,n. 道路；小路；轨道,,,,
resist,rɪ'zɪst,vi. 抵抗，抗拒；忍耐\nvt. 抵抗；忍耐，忍住\nn. [助剂] 抗蚀剂；防染剂,,,,
s,,"suf. 附在规则名词之后构成复数; 附在某些无单数形式名词之后构成复数glasses, socks, trousers; 附在某些名词之后构成单数billiards, checkers, works; 用以构成表示反复或一贯之动作或状态的副词always, Sundays; 附在原形动词之后, 构成第三人称单数一般现在时态的陈述语气: comes, goes, tries, walks",,,,
scope,s'kəʊp,[医]〔后缀〕意为检查或观察用的镜,,,,
some,,"[医]〔后缀〕意为体, 躯体",,,,
speak,spiːk,vi. 说话；演讲；表明；陈述\nvt. 讲话；发言；讲演,,,,
st,st,suf. 用以构成第二人称单数陈述语气; 序数词“第一”(first)的符号：the 1stday,,,,
style,stail,"表示：“…式样的”：familystyle; “按…式样”, “有点儿…地”; 表示“…柱式”,“…柱的”：distyle",,,,
th,,（表示动作或过程）,,,,
them,ðem; ðəm,pron. 他们；它们；她们\nn. (Them)人名；(老)探,,,,
verse,,,"A gay male who will go top and bottom, you know... he'ss just go with whatever!\n> Guy 1: Are you a top or a bottom?\n> Guy 2: I'm verse.\n> Guy 1: YAY! well, im a top, so guess who's getting a cock in their ass tonight.\n> Guy 2: ME! :D\n",,,
ward,,向…的,,,,
ways,,在…方向（的）；朝…方向（的）,,,,
wise,,以…方式；朝…方向,,,,
worthy,'wə:ði,"suf. [构成形容词]表示：“值得…的”,“该…的”：praiseworthy,“适于…的”,“易于…的”：roadworthy",,,,
a,ei,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,,,5
ahead,ei hed,一捆；一束；一头；一棵,,,,
ago,ə'gəʊ,"adv. 以前, 以往\na. 以前的；过去的\nn. (Ago)人名；(英、西、意、塞、瑞典)阿戈",,,i:a-going,
am,em,abbr. 调幅\nv. 是\nn. (Am)人名；(柬)安,,,,
aside,'ei'said,n. A面（磁带等的）,,,,
at,,abbr. anti-tank 反坦克,,,,
away,,心路（歌曲名）,,,,
as,,[医] 左耳,,,,
aid,,"[医] 供者人工授精, 异配[人工]授精",,,,
apt,,[医] 明矾沉淀类毒素,,,,
absolutely,'æbsəluːtlɪ,adv. 绝对地；完全地,,,,
abatement,ә'beitmәnt,"n. 减少, 减轻, 缓和, 折扣, 撤消, 中止\n[化] 废料; 失效",n. the act of abating,,s:abatements,16332
abhorrence,әb'hɒrәns,"n. 厌恶, 痛恨",n. hate coupled with disgust,,s:abhorrences,29710
abide,ә'baid,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",v dwell\nv put up with something or somebody unpleasant,,i:abiding/3:abides/p:abided/d:abided,8457
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不变的",s. unceasing,,0:abide/1:i/i:abiding,15604
abilities,,"n. 能力, 才能（ability的复数形式）",n the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn possession of the qualities (especially mental qualities) required to do something or get something done,,0:ability/1:s,
ablution,ә'blu:ʃәn,"n. 洗澡, 洗礼, 斋戒沐浴\n[化] 洗净; 洗净液",n. the ritual washing of a priest's hands or of sacred vessels,,s:ablutions,31213
abode,ә'bәud,"n. 住所, 住处\nabide的过去式和过去分词",n any address at which you dwell more than temporarily\nn housing that someone is living in\nv dwell\nv put up with something or somebody unpleasant,,1:pd/0:abide/s:abodes,19221
abominable,ә'bɒminәbl,"a. 讨厌的, 令人憎恶的",s. unequivocally detestable,,,22568
abominably,ә'bɒminәbli,"adv. 可恶地, 讨厌地, 极端地",r in an offensive and hateful manner\nr in a terrible manner,,,37795
abound,ә'baund,"vi. 大量存在, 富于, 充满",v. be abundant or plentiful; exist in large quantities\nv. be in a state of movement or action,,3:abounds/p:abounded/i:abounding/d:abounded,7676
abounding,,a. 大量的；丰富的,s. existing in abundance,,0:abound/1:i/i:abounding,
about,ә'baut,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,,,46
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher,,,893
abroad,ә'brɒ:d,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",s. in a foreign country\nr. to or in a foreign country,,,3363
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不连贯的",s. marked by sudden changes in subject and sharp transitions\ns. exceedingly sudden and unexpected\ns. extremely steep\ns. surprisingly and unceremoniously brusque in manner,,,8703
abruptly,ә'brʌptli,"adv. 突然地, 唐突地",r. quickly and without warning,,,5243
abruptness,ә'brʌptnis,"n. 突然, 唐突",n. an abrupt discourteous manner\nn. the property possessed by a slope that is very steep\nn. the quality of happening with headlong haste or without warning,,,31961
absence,'æbsәns,"n. 缺席, 缺乏, 没有\n[医] 失神","n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; com",,s:absences,2524
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation,,p:absented/i:absenting/d:absented/3:absents,5516
absolute,'æbsәlu:t,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative\na. perfect or complete or pure\ns. complete and without restriction or qualification; sometime,,s:absolutes,3165
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",n. a situation in which life seems irrational and meaningless\ns. inconsistent with reason or logic or common sense\ns. incongruous; inviting ridicule,,s:absurds,5901
absurdities,əb'sɜːdɪtɪ,n. 荒谬；谬论；荒谬的言行,pl.  of Absurdity,,0:absurdity/1:s,
absurdity,әb'sә:diti,"n. 荒谬, 悖理, 荒谬的言行",n. a message whose content is at variance with reason\nn. a ludicrous folly,,s:absurdities,12372
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",n. the property of a more than adequate quantity or supply\nn. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present\nn. (chemistry) the ratio of the total mass of an element in the earth's crust to the total mass of the earth's crust;,,s:abundances,5425
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",a. present in great quantity,,,6223
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地",r. in an abundant manner,,,16050
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",n. a rude expression intended to offend or hurt\nv. use foul or abusive language towards\nv. use wrongly or improperly or excessively,,d:abused/s:abuses/i:abusing/3:abuses/p:abused,1540
abused,,"n. 受虐；滥用, 恶习",s. used improperly or excessively especially drugs\na. subjected to cruel treatment,,0:abuse/1:dp/d:abused/p:abused,13867
abusing,,虐待\n滥用\n侮辱\n辱骂,p. pr. & vb. n. of Abuse,,0:abuse/1:i/i:abusing,
abusive,ә'bju:siv,"a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的",s. expressing offensive reproach\ns. characterized by physical or psychological maltreatment,,,7131
account,ə'kaʊnt,n. 账户；解释；账目，账单；理由\nvi. 解释；导致；报账\nvt. 认为；把…视为,,,,
accede,æk'si:d,"vi. 同意, 正式加入, 就任, 继任",v. take on duties or office,,p:acceded/d:acceded/i:acceding/3:accedes,17950
acceded,ək'siːd,vi. 加入；同意；就任,imp. & p. p. of Accede,,0:accede/1:pd,
accent,'æksәnt,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",n. distinctive manner of oral expression\nn. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation,,s:accents/p:accented/i:accenting/d:accented/3:accents,4140
accents,ˈæksənts,n. 重音( accent的名词复数 ); 口音; 强调; 读音符号（标在字母上）,n distinctive manner of oral expression\nn special importance or significance\nn the usage or vocabulary that is characteristic of a specific group of people\nn the relative prominence of a syllable or musical note (especially with regard to stress or pitch)\nn a diacritical mark used to indicate st,,1:s3/0:accent,
accept,әk'sept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper,,d:accepted/p:accepted/i:accepting/3:accepts,766
acceptable,әk'septәbl,"a. 可接受的, 合意的, 可忍受的",a. worthy of acceptance or satisfactory\ns. judged to be in conformity with approved usage\ns. adequate for the purpose,,,3415
acceptance,әk'septәns,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",n. the state of being acceptable and accepted\nn. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)\nn. banking: a time draft drawn on and accepted by a bank\nn. the act of taking something that is offered,,s:acceptances,3443
accepted,әk'septid,"a. 公认的, 一般承认的\n[经] 已承兑, 已认付",s. generally approved or compelling recognition,,0:accept/1:dp/d:accepted/p:accepted,6728
accepting,әk'septiŋ,a. 易接受的；赞同的；[商业]承兑的,s. tolerating without protest,,0:accept/1:i/i:accepting,30213
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,,s:accidents,1707
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature\ns. happening by chance or unexpectedly or unintentionally,,s:accidentals,7485
accidentally,.æksi'dentli,"adv. 偶然地, 意外地",r without advance planning\nr of a minor or subordinate nature\nr without intention; in an unintentional manner,,,7057
accidents,,n. 意外事故；事故（accident的复数）,n an unfortunate mishap; especially one causing damage or injury\nn anything that happens suddenly or by chance without an apparent cause,,0:accident/1:s,
accomplished,ə'kʌmplɪʃt; ə'kɒm-,adj. 完成的；熟练的，有技巧的；有修养的；有学问的,,,,
accompanied,,"v. 陪伴, 伴随；伴奏（accompany的过去分词）\na. 伴随的；相伴的",imp. & p. p. of Accompany,,0:accompany/1:dp,
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",v. go or travel along with,,d:accompanied/p:accompanied/i:accompanying/3:accompanies,2438
accompanying,,"a. 随同的, 附见的",v be present or associated with an event or entity\nv go or travel along with\nv perform an accompaniment to\nv be a companion to somebody\ns following or accompanying as a consequence,,0:accompany/1:i/i:accompanying,6968
accomplishments,,n. 造诣（accomplishment的复数）,,,,
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成",n. the action of accomplishing something,,s:accomplishments,4308
according,ә'kɒ:diŋ,"a. 相符的, 根据...而定的\nadv. 相应地",s. (followed by `to') in agreement with or accordant with\ns. (followed by `to') as reported or stated by,,0:accord/1:i,478
accordingly,ә'kɒ:diŋli,"adv. 相应地, 因此, 于是",r. in accordance with,,,5589
accosted,ə'kɒst,vt. 勾引；引诱；对…说话；搭讪,"imp. & p. p. of Accost\na. Supported on both sides by other charges; also, side by\n   side.",,0:accost/1:dp,
accounted,,未予说明的,"v be the sole or primary factor in the existence, acquisition, supply, or disposal of something\nv keep an account of\nv to give an account or representation of in words\nv furnish a justifying analysis or explanation",,0:account/1:dp,
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",n. a convincing explanation that reveals basic causes\nn. a system that provides quantitative information about finances\nn. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts,,0:account/1:i/i:accounting,3921
accounts,,n. 账号；会计账簿；账目（account的复数）,n a record or narrative description of past events\nn a short account of the news\nn a formal contractual relationship established to provide for regular banking or brokerage or business services\nn a statement that makes something comprehensible by describing the relevant structure or operation or ,,0:account/1:s3,
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的","a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct",,,2728
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt\nn. an assertion that someone is guilty of a fault or offence,,s:accusations,4870
accusations,ˌækju:ˈzeɪʃənz,n. 指责( accusation的复数形式 ); 指控; 控告; （被告发、控告的）罪名,n. a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt\nn. an assertion that someone is guilty of a fault or offence,,0:accusation/1:s,
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",v. bring an accusation against; level a charge against,,d:accused/p:accused/i:accusing/3:accuses,2024
accused,ә'kju:zd,n. 被告,n. a defendant in a criminal proceeding,,0:accuse/1:dp/d:accused/p:accused,9385
accusing,ә'kju:ziŋ,"a. 指责的, 非难的","v bring an accusation against; level a charge against\nv blame for, make a claim of wrongdoing or misbehavior against\ns containing or expressing accusation",,0:accuse/1:i/i:accusing,27255
accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的",a. (often followed by `to') in the habit of or adapted to\ns. commonly used or practiced; usual,,d:accustomed/0:accustomed/1:dp/p:accustomed,8524
ache,eik,"n. 疼痛\nvi. 痛, 哀怜, 渴望",n. a dull persistent (usually moderately intense) pain\nv. have a desire for something or someone who is not present\nv. be the source of pain,,p:ached/i:aching/d:ached/3:aches,7717
ached,eɪkt,疼痛,imp. & p. p. of Ache,,0:ache/1:pd,
achieving,,取得\n实现,p. pr. & vb. n. of Achieve,,0:achieve/1:i,
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知","v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority",,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,1654
acknowledged,әk'nɒlidʒid,a. 公认的,a. recognized or made known or admitted\ns. generally accepted,,0:acknowledge/1:pd/d:acknowledged/p:acknowledged,14098
acknowledging,,n. 确认；答谢顾客,"v declare to be true or admit the existence or reality or truth of\nv report the receipt of\nv express recognition of the presence or existence of, or acquaintance with\nv express obligation, thanks, or gratitude for\nv accept as legally binding and valid\nv accept (someone) to be what is claimed or",,0:acknowledge/1:i,
acknowledgment,әk'nɔlidʒmәnt,"n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可",n. a statement acknowledging something or someone,,s:acknowledgments,9911
acknowledgments,,"(acknowledgment 的复数) n. 承认, 答谢, 认可, 谢礼, 收到的通知, 收到的回音, 谢意\n[计] 肯定, 确认认可",plural of acknowledgment\nn. a statement acknowledging something or someone,,0:acknowledgment/1:s,
acquaint,ә'kweint,"vt. 使认识, 介绍",v. inform,,d:acquainted/i:acquainting/p:acquainted/3:acquaints,9630
acquaintance,ә'kweintәns,"n. 认识, 相识者",n. personal knowledge or information about someone or something\nn. a relationship less intimate than friendship\nn. a person with whom you are acquainted,,s:acquaintances,6274
acquaintances,ək'weɪntənsɪz,n. 相识的人( acquaintance的复数形式 ); 熟人; 对…有了解; （与某人）认识,n. personal knowledge or information about someone or something\nn. a relationship less intimate than friendship\nn. a person with whom you are acquainted,,0:acquaintance/1:s,
acquainted,ә'kweintid,a. 知晓的；有知识的；熟识的,s. having fair knowledge of,,0:acquaint/1:dp,
acquiesce,.ækwi'es,"vi. 默许, 默然同意",v to agree or express agreement,,d:acquiesced/p:acquiesced/i:acquiescing/3:acquiesces,15179
acquiescence,.ækwi'esәns,"n. 默许, 默认\n[法] 默许, 默认",n. acceptance without protest,,,17580
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定",v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts,,d:acquired/p:acquired/i:acquiring/3:acquires,2063
acquired,ә'kwaiәd,"a. 获得的, 后天的\n[医] 获得的, 后天的",s. gotten through environmental forces,,0:acquire/1:dp/p:acquired/d:acquired,15054
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",n. the act of contracting or assuming or acquiring possession of something\nn. something acquired,,s:acquisitions,3856
acquit,ә'kwit,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免",v. pronounce not guilty of criminal charges,,d:acquitted/p:acquitted/i:acquitting/s:acquits/3:acquits,9999
acrimony,'ækrimәni,"n. 严厉, 尖刻\n[医] 辛辣",n a rough and bitter manner,,,22245
across,ә'krɒs,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",r. to the opposite side\nr. transversely,,,377
act,ækt,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program,,i:acting/s:acts/p:acted/d:acted/3:acts,837
acted,,v. 行动（act的过去分词）；行使…职能；扮演角色,imp. & p. p. of Act,,0:act/1:pd/d:acted,
acting,'æktiŋ,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的",n. the performance of a part or role in a drama\ns. serving temporarily especially as a substitute,,0:act/1:i/i:acting/s:actings,8387
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,,s:actions/i:actioning/p:actioned/3:actions,502
actions,,n. 动作；行动（action的复数）,n something done (usually as opposed to something said)\nn the state of being active\nn a military engagement\nn a process existing in or produced by nature (rather than by the intent of human beings)\nn the series of events that form a plot\nn the trait of being active and energetic and forceful\nn,,0:action/1:s,
active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change,,s:actives,1444
activity,æk'tiviti,"n. 活动, 行动, 活跃, 活力\n[计] 活动",n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction,,s:activities,537
actual,'æktʃuәl,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",a. presently existing in fact and not merely potential or possible\ns. taking place in reality; not pretended or imitated\ns. being or reflecting the essential or genuine character of something\ns. existing in act or fact,,s:actuals,1739
actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在",r. in actual fact\nr. used to imply that one would expect the fact to be the opposite of that stated; surprisingly\nr. at the present moment\nr. as a sentence modifier to add slight emphasis,,,396
actuated,,a. 开动的；动作的\nv. 驱动；激励（actuate的过去分词形式）；使运转,imp. & p. p. of Actuate,,0:actuate/1:dp,
acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees,,s:acutes/t:acutest,5255
acutely,ә'kju:tli,"adv. 尖锐地, 剧烈地",r. in an acute manner\nr. having a rapid onset,,,11397
acutest,,"(acute 的最高级) a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",superlative of acute\na. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees,,0:acute/1:t,
ada,'eidә,"[计] 数据自动采集程序, 自动动态分析程序",n an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia,,,16511
adapted,,a. 适合的,s. changed in order to improve or made more fit for a particular purpose,,0:adapt/1:dp/d:adapted/p:adapted,22974
add,æd,"vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法","v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition",,p:added/d:added/i:adding/3:adds,340
added,'ædid,a. 额外的；更多的,"v make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv state or say further\nv bestow a quality on\nv make an addition by combining numbers\nv determine the sum of\nv constitute an addition",,0:add/1:pd/d:added/p:added,4550
adding,'ædiŋ,[计] 加法的,"v make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv state or say further\nv bestow a quality on\nv make an addition by combining numbers\nv determine the sum of\nv constitute an addition",,0:add/1:i/i:adding,25338
addition,ә'diʃәn,"n. 加法, 增加的人(或物)\n[计] 加法",n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area,,s:additions,2048
additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",s further or added,,,1319
additions,,n. 附件；增加固定资产；附加物（addition的复数）,n a component that is added to something to improve it\nn the act of adding one thing to another\nn a quantity that is added\nn something added to what you already have\nn a suburban area laid out in streets and lots for a future residential area\nn the arithmetic operation of summing; calculating t,,0:addition/1:s,
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual,,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,1028
addressed,,a. 编址的；收信地址；处理,a. (of mail) marked with a destination,,0:address/1:dp/p:addressed/d:addressed,35337
addresses,əˈdresiz,n. 称呼( address的名词复数 ); （在信封、包裹等上）书写（收件人姓名、地址）; （收件人的）姓名和地址; （书面或口头的）发言,n (computer science) the code that identifies where a piece of information is stored\nn the place where a person or organization can be found or communicated with\nn the act of delivering a formal spoken communication to an audience\nn the manner of speaking to another individual\nn a sign in front ,,0:address/1:s3,
addressing,ә'dresiŋ,[计] 访问; 寻址; 定址,"v speak to\nv give a speech to\nv put an address on (an envelope)\nv direct a question at someone\nv address or apply oneself to something, direct one's efforts towards something, such as a question\nv greet, as with a prescribed form, title, or name\nv access or locate by address\nv act on verbally",,0:address/1:i/s:addressings,
adds,,abbr. 高级数据显示系统（Advanced Data Display System）；美国陆军数据分发系统；应用数字数据系统（Applied Digital Data System）,"n a condition (mostly in boys) characterized by behavioral and learning disorders\nv make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv state or say further\nv bestow a quality on\nv make an addition by combining numbers\nv determine the ",,0:add/1:3,
adept,ә'dept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",s. having or showing knowledge and skill and aptitude,,s:adepts,10221
adhered,,v. 坚持；粘附；依附（adhere的过去分词）,imp. & p. p. of Adhere,,0:adhere/1:dp,
adhering,,"a. 附着, 粘附性的；粘附的",v be compatible or in accordance with\nv follow through or carry out a plan without deviation\nv come or be in close contact with; stick or hold together and resist separation\nv be a devoted follower or supporter\nv be loyal to\nv stick to firmly,,0:adhere/1:i/i:adhering,
adieu,ә'dju:,"interj. 再见, 再会\nn. 告别, 辞别",n. a farewell remark,,,29803
adieus,ə'djuː,n. 告别；辞行\nint. 再见；再会,pl.  of Adieu,,,
adjourn,ә'dʒә:n,"vi. 休会, 换地方\nvt. 使中止, 推迟",v. close at the end of a session\nv. break from a meeting or gathering,,d:adjourned/p:adjourned/i:adjourning/s:adjourns/3:adjourns,16425
adjusting,ә'dʒʌstiŋ,[计] 调准,v alter or regulate so as to achieve accuracy or conform to a standard\nv place in a line or arrange so as to be parallel or straight\nv adapt or conform oneself to new or different conditions\nv make correspondent or conformable\nv decide how much is to be paid on an insurance claim,,0:adjust/1:i/i:adjusting,42873
admirable,'ædmәrәbl,"a. 可钦佩的, 极好的, 令人惊奇的",s. deserving of the highest esteem or admiration\ns. inspiring admiration or approval,,,10469
admiration,.ædmә'reiʃәn,"n. 赞赏, 钦佩, 引人赞赏的对象",n. a feeling of delighted approval and liking\nn. a favorable judgment,,s:admirations,6964
